accident_index,accident_severity,speed_limit,weather_conditions,road_surface_conditions,day_of_week,urban_or_rural_area,light_conditions
2023000166,3,30.0,1.0,4.0,6,2,1
2023000167,3,30.0,1.0,2.0,3,1,4
2023000168,3,30.0,3.0,2.0,5,1,7
2023000169,2,30.0,1.0,2.0,5,1,6
2023000170,3,30.0,3.0,,7,1,1
2023000171,3,30.0,9.0,2.0,7,1,1
2023000172,1,30.0,1.0,3.0,4,1,4
2023000173,3,30.0,1.0,1.0,3,2,1
2023000174,3,30.0,1.0,1.0,2,2,4
2023000175,3,30.0,1.0,1.0,4,1,7
2023000176,3,30.0,1.0,1.0,4,1,1
2023000177,3,50.0,4.0,1.0,3,1,5
2023000178,3,30.0,1.0,1.0,3,2,1
2023000179,3,40.0,1.0,1.0,4,1,6
2023000180,2,50.0,1.0,1.0,4,1,5
2023000181,3,40.0,5.0,1.0,4,1,1
2023000182,2,30.0,1.0,2.0,1,2,5
2023000183,3,30.0,5.0,1.0,4,1,4
2023000184,3,30.0,9.0,1.0,5,1,1
2023000185,3,40.0,1.0,1.0,6,2,6
2023000186,3,30.0,1.0,1.0,2,1,1
2023000187,3,60.0,1.0,1.0,2,1,7
2023000188,3,70.0,1.0,1.0,6,2,1
2023000189,3,30.0,2.0,2.0,3,2,1
2023000190,3,30.0,1.0,1.0,7,2,1
2023000191,2,40.0,1.0,1.0,4,1,1
2023000192,3,30.0,1.0,1.0,2,2,1
2023000193,3,20.0,1.0,1.0,2,2,1
2023000194,3,70.0,1.0,2.0,5,1,6
2023000195,3,30.0,1.0,1.0,5,1,1
2023000196,3,70.0,3.0,2.0,1,2,1
2023000197,3,50.0,1.0,1.0,6,1,6
2023000198,3,50.0,1.0,2.0,1,1,5
2023000199,3,30.0,2.0,2.0,2,1,4
2023000200,3,30.0,8.0,2.0,3,1,1
2023000201,3,30.0,1.0,3.0,2,2,5
2023000202,2,30.0,1.0,1.0,3,1,1
2023000203,2,30.0,1.0,3.0,7,1,7
2023000204,3,30.0,1.0,1.0,2,2,4
2023000205,3,30.0,4.0,2.0,5,2,5
2023000206,1,30.0,1.0,,4,2,4
2023000207,2,50.0,2.0,2.0,2,1,1
2023000208,3,30.0,1.0,2.0,1,1,4
2023000209,1,20.0,1.0,1.0,7,1,1
2023000210,2,40.0,1.0,2.0,7,1,1
2023000211,3,70.0,1.0,2.0,3,1,1
2023000212,3,30.0,1.0,1.0,3,2,1
2023000213,3,30.0,1.0,1.0,2,1,4
2023000214,3,40.0,1.0,1.0,3,1,1
2023000215,3,70.0,3.0,1.0,1,2,1
2023000216,3,50.0,1.0,1.0,5,1,5
2023000217,3,40.0,2.0,1.0,4,1,1
2023000218,3,30.0,1.0,1.0,4,1,1
2023000219,3,30.0,2.0,1.0,3,1,1
2023000220,3,30.0,9.0,1.0,2,3,1
2023000221,3,40.0,1.0,2.0,3,2,1
2023000222,3,50.0,4.0,1.0,7,1,1
2023000223,2,70.0,1.0,2.0,1,1,1
2023000224,3,30.0,3.0,1.0,6,1,1
2023000225,3,20.0,1.0,1.0,2,2,1
2023000226,3,30.0,1.0,1.0,5,2,7
2023000227,3,50.0,1.0,2.0,1,1,7
2023000228,3,50.0,1.0,2.0,5,2,1
2023000229,3,30.0,1.0,2.0,2,1,1
2023000230,3,30.0,9.0,1.0,5,1,5
2023000231,3,30.0,2.0,2.0,1,1,1
2023000232,3,30.0,1.0,1.0,1,2,1
2023000233,3,70.0,3.0,2.0,3,1,1
2023000234,3,30.0,2.0,1.0,6,2,1
2023000235,3,50.0,1.0,1.0,2,1,7
2023000236,3,40.0,1.0,1.0,4,2,5
2023000237,3,50.0,1.0,,7,1,1
2023000238,2,30.0,4.0,1.0,6,1,1
2023000239,3,60.0,3.0,1.0,4,1,1
2023000240,3,30.0,1.0,1.0,5,2,6
2023000241,3,30.0,1.0,4.0,4,2,1
2023000242,3,30.0,2.0,1.0,4,1,1
2023000243,3,30.0,5.0,2.0,7,1,1
2023000244,3,30.0,2.0,4.0,1,2,1
2023000245,1,30.0,1.0,3.0,1,1,6
2023000246,3,70.0,1.0,2.0,1,2,6
2023000247,3,30.0,1.0,2.0,4,2,1
2023000248,3,50.0,1.0,1.0,5,1,1
2023000249,3,70.0,3.0,1.0,2,2,1
2023000250,3,20.0,1.0,1.0,7,2,5
2023000251,3,40.0,3.0,1.0,3,1,1
2023000252,3,30.0,1.0,1.0,5,1,1
2023000253,3,20.0,3.0,2.0,7,1,1
2023000254,3,30.0,1.0,1.0,7,2,1
2023000255,2,70.0,1.0,2.0,1,2,5
2023000256,3,20.0,1.0,1.0,5,1,1
2023000257,3,40.0,1.0,1.0,2,1,1
2023000258,3,30.0,5.0,1.0,6,1,5
2023000259,3,70.0,1.0,1.0,1,2,5
2023000260,2,30.0,1.0,4.0,2,1,1
2023000261,3,40.0,3.0,1.0,6,2,1
2023000262,3,40.0,4.0,1.0,3,1,5
2023000263,2,40.0,1.0,2.0,5,1,1
2023000264,3,70.0,5.0,1.0,3,1,4
2023000265,3,60.0,1.0,1.0,7,1,1
2023000266,3,20.0,1.0,1.0,4,2,1
2023000267,3,30.0,1.0,1.0,5,2,1
2023000268,3,30.0,1.0,1.0,7,3,1
2023000269,3,30.0,1.0,2.0,6,2,1
2023000270,3,30.0,1.0,1.0,4,1,6
2023000271,3,30.0,1.0,1.0,2,2,1
2023000272,3,30.0,3.0,1.0,4,2,1
2023000273,3,70.0,1.0,1.0,6,1,4
2023000274,3,30.0,9.0,3.0,6,1,1
2023000275,3,70.0,2.0,1.0,2,2,5
2023000276,3,30.0,1.0,5.0,3,2,5
2023000277,3,40.0,1.0,1.0,1,2,1
2023000278,3,60.0,1.0,2.0,3,1,1
2023000279,3,30.0,3.0,1.0,7,2,7
2023000280,3,30.0,1.0,1.0,4,1,1
2023000281,3,30.0,1.0,1.0,2,1,4
2023000282,3,30.0,5.0,1.0,4,2,5
2023000283,3,70.0,1.0,1.0,6,2,1
2023000284,2,60.0,1.0,1.0,7,1,1
2023000285,3,30.0,1.0,2.0,7,1,7
2023000286,2,30.0,4.0,1.0,1,1,4
2023000287,3,30.0,4.0,1.0,5,1,5
2023000288,3,30.0,1.0,2.0,5,1,1
2023000289,3,40.0,1.0,1.0,5,1,6
2023000290,3,30.0,3.0,2.0,4,1,4
2023000291,2,30.0,2.0,1.0,5,2,4
2023000292,2,20.0,3.0,1.0,2,1,1
2023000293,3,30.0,1.0,1.0,1,1,1
2023000294,3,40.0,5.0,3.0,7,2,1
2023000295,2,30.0,1.0,2.0,6,2,4
2023000296,3,70.0,1.0,5.0,3,1,1
2023000297,3,70.0,2.0,1.0,6,1,1
2023000298,3,30.0,1.0,2.0,2,2,1
2023000299,3,20.0,4.0,1.0,1,1,1
2023000300,2,60.0,1.0,1.0,3,2,5
2023000301,2,70.0,3.0,2.0,5,1,1
2023000302,3,60.0,1.0,1.0,3,3,1
2023000303,3,30.0,1.0,1.0,7,2,4
2023000304,3,70.0,1.0,1.0,4,1,4
2023000305,3,30.0,1.0,2.0,4,1,7
2023000306,3,50.0,2.0,1.0,5,1,1
2023000307,3,70.0,1.0,1.0,5,1,4
2023000308,3,30.0,1.0,5.0,2,1,1
2023000309,3,70.0,1.0,,2,1,5
2023000310,3,30.0,3.0,1.0,6,1,5
2023000311,3,70.0,1.0,1.0,7,2,4
2023000312,2,30.0,1.0,2.0,4,1,1
2023000313,2,70.0,1.0,1.0,1,2,7
2023000314,3,30.0,5.0,1.0,2,2,6
2023000315,3,50.0,1.0,1.0,1,2,1
2023000316,3,30.0,1.0,1.0,6,2,1
2023000317,3,30.0,2.0,1.0,4,2,6
2023000318,3,30.0,1.0,1.0,2,3,1
2023000319,2,50.0,1.0,1.0,1,1,1
2023000320,3,30.0,9.0,3.0,6,1,1
2023000321,3,40.0,1.0,2.0,1,1,1
2023000322,3,30.0,1.0,3.0,2,1,1
2023000323,3,70.0,1.0,2.0,5,1,1
2023000324,3,20.0,4.0,1.0,6,2,1
2023000325,3,30.0,1.0,1.0,6,1,6
2023000326,3,30.0,1.0,3.0,3,1,6
2023000327,3,30.0,1.0,1.0,5,1,5
2023000328,3,30.0,2.0,5.0,6,2,1
2023000329,3,30.0,1.0,1.0,3,1,5
2023000330,3,70.0,1.0,1.0,1,2,1
2023000331,3,50.0,1.0,1.0,2,1,4
2023000332,3,40.0,1.0,1.0,6,2,1
2023000333,1,30.0,2.0,1.0,4,1,1
2023000334,2,40.0,1.0,1.0,2,1,1
2023000335,2,30.0,3.0,1.0,5,3,5
2023000336,2,50.0,1.0,1.0,3,1,6
2023000337,3,30.0,2.0,1.0,2,1,1
2023000338,3,30.0,1.0,2.0,3,1,1
2023000339,3,30.0,1.0,1.0,5,2,1
2023000340,2,70.0,8.0,1.0,5,3,1
2023000341,3,30.0,9.0,1.0,2,2,7
2023000342,3,40.0,1.0,2.0,6,1,1
2023000343,3,30.0,1.0,1.0,4,1,5
2023000344,3,50.0,1.0,3.0,6,1,4
2023000345,3,70.0,4.0,1.0,7,2,1
2023000346,3,30.0,1.0,1.0,4,1,4
2023000347,3,30.0,1.0,1.0,3,2,1
2023000348,2,70.0,1.0,1.0,2,1,5
2023000349,3,30.0,5.0,1.0,1,1,1
2023000350,3,30.0,1.0,2.0,5,1,1
2023000351,3,40.0,1.0,1.0,6,1,5
2023000352,3,40.0,1.0,2.0,3,2,1
2023000353,3,30.0,1.0,2.0,5,1,6
2023000354,2,60.0,1.0,2.0,3,1,1
2023000355,2,30.0,5.0,1.0,2,1,1
2023000356,3,30.0,4.0,5.0,3,1,4
2023000357,2,50.0,1.0,1.0,3,1,1
2023000358,3,30.0,3.0,1.0,7,2,1
2023000359,3,30.0,1.0,2.0,1,1,1
2023000360,3,40.0,1.0,1.0,3,1,1
2023000361,3,70.0,9.0,2.0,4,2,1
2023000362,3,70.0,1.0,1.0,3,2,1
2023000363,3,70.0,1.0,1.0,3,1,5
2023000364,3,70.0,9.0,1.0,2,2,1
2023000365,3,20.0,1.0,1.0,3,3,4
2023000366,3,30.0,2.0,1.0,7,1,6
2023000367,3,60.0,5.0,1.0,1,2,1
2023000368,3,30.0,1.0,2.0,2,1,5
2023000369,3,40.0,1.0,2.0,7,1,1
2023000370,2,40.0,1.0,2.0,5,1,1
2023000371,2,30.0,1.0,2.0,4,2,1
2023000372,1,70.0,1.0,1.0,4,2,4
2023000373,2,30.0,2.0,2.0,5,1,4
2023000374,3,30.0,1.0,1.0,3,1,7
2023000375,2,70.0,1.0,1.0,1,1,1
2023000376,3,30.0,1.0,2.0,1,1,1
2023000377,3,30.0,1.0,1.0,1,2,5
2023000378,2,30.0,4.0,2.0,1,1,1
2023000379,3,60.0,1.0,1.0,7,1,5
2023000380,3,50.0,3.0,1.0,3,1,1
2023000381,2,50.0,1.0,1.0,5,2,1
2023000382,3,50.0,1.0,1.0,7,2,1
2023000383,3,30.0,1.0,2.0,7,1,7
2023000384,3,70.0,1.0,5.0,5,1,1
2023000385,3,70.0,1.0,1.0,4,1,1
2023000386,3,30.0,1.0,1.0,5,3,1
2023000387,3,30.0,5.0,1.0,1,1,1
2023000388,3,70.0,1.0,2.0,3,1,1
2023000389,3,70.0,5.0,1.0,7,1,1
2023000390,3,70.0,1.0,3.0,2,1,5
2023000391,3,70.0,1.0,2.0,2,1,5
2023000392,3,30.0,1.0,2.0,1,1,7
2023000393,3,40.0,1.0,1.0,6,1,1
2023000394,3,30.0,4.0,2.0,4,1,6
2023000395,3,30.0,1.0,1.0,7,1,1
2023000396,3,50.0,1.0,2.0,2,1,1
2023000397,3,30.0,1.0,,6,2,1
2023000398,3,40.0,1.0,1.0,1,1,7
2023000399,3,30.0,3.0,1.0,7,1,7
2023000400,3,30.0,1.0,3.0,7,2,6
2023000401,2,30.0,2.0,3.0,7,2,1
2023000402,3,30.0,1.0,2.0,3,1,5
2023000403,3,30.0,5.0,1.0,2,1,1
2023000404,3,30.0,2.0,1.0,1,2,1
2023000405,3,70.0,1.0,2.0,2,1,1
2023000406,3,30.0,1.0,1.0,3,2,4
2023000407,3,30.0,5.0,1.0,5,2,5
2023000408,1,40.0,1.0,1.0,5,1,5
2023000409,3,40.0,2.0,1.0,3,1,1
2023000410,2,30.0,1.0,1.0,3,1,1
2023000411,3,50.0,1.0,1.0,5,3,4
2023000412,3,50.0,2.0,1.0,3,2,5
2023000413,3,30.0,1.0,2.0,7,1,1
2023000414,3,30.0,1.0,3.0,3,1,4
2023000415,3,70.0,1.0,,3,2,1
2023000416,3,60.0,1.0,1.0,5,3,1
2023000417,3,40.0,2.0,1.0,5,2,1
2023000418,3,30.0,5.0,2.0,6,1,1
2023000419,3,30.0,4.0,2.0,2,1,1
2023000420,3,40.0,1.0,,5,1,6
2023000421,3,30.0,1.0,2.0,2,2,1
2023000422,3,30.0,3.0,1.0,7,1,7
2023000423,2,40.0,1.0,1.0,7,2,1
2023000424,3,30.0,1.0,1.0,5,1,4
2023000425,2,50.0,5.0,2.0,4,1,7
2023000426,3,60.0,1.0,1.0,2,2,1
2023000427,3,30.0,1.0,4.0,3,2,1
2023000428,3,60.0,1.0,2.0,4,1,1
2023000429,3,30.0,1.0,2.0,6,1,1
2023000430,2,60.0,1.0,1.0,5,2,1
2023000431,2,30.0,5.0,1.0,5,2,7
2023000432,3,30.0,1.0,2.0,6,2,5
2023000433,3,40.0,1.0,1.0,4,1,1
2023000434,2,30.0,3.0,1.0,1,1,1
2023000435,2,70.0,1.0,3.0,7,2,1
2023000436,3,30.0,1.0,2.0,3,2,1
2023000437,2,30.0,1.0,1.0,2,1,1
2023000438,3,30.0,3.0,2.0,4,3,1
2023000439,3,30.0,1.0,1.0,2,1,1
2023000440,2,30.0,1.0,1.0,5,1,6
2023000441,2,40.0,1.0,1.0,1,2,1
2023000442,3,50.0,1.0,2.0,6,1,1
2023000443,3,70.0,1.0,1.0,1,3,4
2023000444,3,70.0,1.0,1.0,2,1,1
2023000445,3,30.0,1.0,1.0,6,1,4
2023000446,3,50.0,,5.0,7,1,4
2023000447,3,30.0,1.0,2.0,5,1,7
2023000448,3,40.0,1.0,1.0,6,1,1
2023000449,3,30.0,1.0,1.0,7,1,1
2023000450,2,70.0,5.0,1.0,6,1,1
2023000451,3,50.0,4.0,1.0,1,2,1
2023000452,3,70.0,8.0,,3,1,5
2023000453,3,60.0,1.0,1.0,5,2,4
2023000454,3,70.0,1.0,5.0,4,1,7
2023000455,2,60.0,1.0,1.0,4,1,1
2023000456,3,30.0,1.0,1.0,4,1,5
2023000457,1,30.0,1.0,1.0,3,1,1
2023000458,3,30.0,1.0,1.0,5,2,6
2023000459,2,20.0,1.0,3.0,6,3,1
2023000460,2,30.0,1.0,2.0,2,1,5
2023000461,2,30.0,1.0,1.0,2,1,1
2023000462,3,30.0,1.0,1.0,5,1,1
2023000463,3,70.0,1.0,1.0,3,3,4
2023000464,3,70.0,1.0,1.0,5,2,6
2023000465,3,30.0,9.0,2.0,2,1,5
2023000466,3,30.0,1.0,2.0,5,1,1
2023000467,3,30.0,1.0,1.0,4,1,1
2023000468,3,30.0,4.0,1.0,7,2,1
2023000469,3,50.0,1.0,1.0,6,2,5
2023000470,3,30.0,1.0,,5,3,1
2023000471,1,40.0,1.0,1.0,6,1,6
2023000472,3,70.0,1.0,1.0,1,2,1
2023000473,2,60.0,1.0,1.0,5,1,1
2023000474,3,30.0,1.0,1.0,2,2,5
2023000475,3,50.0,1.0,1.0,7,1,4
2023000476,3,30.0,3.0,2.0,2,2,1
2023000477,2,30.0,1.0,4.0,7,1,1
2023000478,3,30.0,1.0,1.0,6,1,1
2023000479,3,30.0,1.0,1.0,2,2,1
2023000480,3,30.0,1.0,2.0,4,2,1
2023000481,3,30.0,3.0,2.0,2,2,4
2023000482,3,40.0,1.0,1.0,1,2,1
2023000483,3,50.0,4.0,2.0,5,2,6
2023000484,3,30.0,1.0,2.0,3,1,4
2023000485,3,20.0,3.0,1.0,2,1,6
2023000486,3,60.0,1.0,1.0,5,2,1
2023000487,2,20.0,1.0,2.0,4,2,5
2023000488,3,70.0,2.0,2.0,5,1,6
2023000489,3,40.0,2.0,1.0,2,1,1
2023000490,3,30.0,1.0,1.0,2,2,7
2023000491,3,30.0,9.0,1.0,6,2,1
2023000492,3,20.0,1.0,2.0,7,1,1
2023000493,3,30.0,1.0,1.0,2,1,1
2023000494,3,30.0,1.0,1.0,1,3,1
2023000495,3,40.0,2.0,2.0,5,1,6
2023000496,3,30.0,8.0,1.0,6,1,1
2023000497,3,30.0,1.0,2.0,7,1,1
2023000498,2,40.0,1.0,1.0,3,1,1
2023000499,3,30.0,1.0,1.0,1,1,5
2023000500,3,20.0,1.0,1.0,3,1,1
2023000501,3,20.0,1.0,4.0,2,1,4
2023000502,3,20.0,1.0,2.0,3,2,1
2023000503,3,50.0,1.0,1.0,3,1,4
2023000504,3,30.0,1.0,4.0,1,1,6
2023000505,3,50.0,1.0,2.0,1,1,1
2023000506,2,30.0,2.0,1.0,5,1,1
2023000507,3,30.0,1.0,1.0,3,1,1
2023000508,3,30.0,1.0,1.0,1,2,1
2023000509,3,50.0,1.0,1.0,5,1,1
2023000510,3,30.0,1.0,1.0,3,1,1
2023000511,3,30.0,1.0,1.0,7,2,1
2023000512,3,40.0,1.0,1.0,3,1,1
2023000513,3,30.0,9.0,1.0,6,1,1
2023000514,3,30.0,1.0,1.0,2,2,1
2023000515,2,40.0,1.0,1.0,7,2,4
2023000516,2,30.0,1.0,1.0,1,2,6
2023000517,3,40.0,1.0,1.0,4,1,1
2023000518,3,30.0,5.0,3.0,7,3,1
2023000519,3,50.0,8.0,1.0,6,2,1
2023000520,2,50.0,1.0,1.0,1,1,1
2023000521,3,30.0,1.0,1.0,6,2,6
2023000522,3,40.0,2.0,1.0,2,1,5
2023000523,3,70.0,1.0,2.0,6,1,1
2023000524,3,30.0,2.0,1.0,6,1,6
2023000525,3,30.0,3.0,1.0,5,1,4
2023000526,3,50.0,1.0,1.0,7,1,1
2023000527,3,40.0,9.0,1.0,1,1,4
2023000528,3,30.0,9.0,1.0,7,1,1
2023000529,2,70.0,5.0,1.0,3,2,1
2023000530,3,20.0,1.0,1.0,4,1,1
2023000531,3,50.0,1.0,2.0,5,2,1
2023000532,3,50.0,1.0,1.0,7,1,5
2023000533,3,70.0,1.0,1.0,1,2,5
2023000534,3,30.0,1.0,1.0,5,1,1
2023000535,3,40.0,1.0,4.0,7,2,1
2023000536,3,30.0,1.0,1.0,3,2,1
2023000537,3,30.0,1.0,1.0,6,2,5
2023000538,3,30.0,1.0,1.0,4,1,1
2023000539,3,40.0,1.0,1.0,7,1,5
2023000540,2,30.0,2.0,1.0,7,1,6
2023000541,3,30.0,1.0,3.0,3,1,1
2023000542,3,40.0,1.0,1.0,4,1,1
2023000543,3,50.0,8.0,2.0,5,2,1
2023000544,3,50.0,1.0,1.0,6,1,1
2023000545,3,70.0,1.0,2.0,6,1,1
2023000546,3,30.0,2.0,1.0,1,2,5
2023000547,2,70.0,2.0,1.0,4,1,1
2023000548,3,70.0,1.0,3.0,3,1,1
2023000549,3,30.0,5.0,1.0,4,2,1
2023000550,3,30.0,5.0,3.0,7,1,6
2023000551,3,30.0,1.0,1.0,5,2,1
2023000552,3,30.0,1.0,5.0,6,1,5
2023000553,3,40.0,1.0,1.0,5,1,1
2023000554,3,40.0,1.0,2.0,5,2,4
2023000555,3,50.0,1.0,1.0,7,3,6
2023000556,3,30.0,2.0,1.0,1,1,1
2023000557,2,30.0,1.0,2.0,5,2,1
